src_ip,dest_ip,dest_port,protocol,username,severity,alert_type,raw_log,country,is_bad_ip,is_off_hours,timestamp
192.168.1.11,10.0.0.6,80,TCP,user8,HIGH,SQL Injection,Suspicious SQL query in request,USA,True,False,2026-04-03 11:17:15
45.33.32.156,10.0.0.6,3389,TCP,user20,LOW,Normal Traffic,Regular user activity,USA,True,False,2026-04-03 11:17:20
192.168.1.2,10.0.0.19,21,TCP,user18,CRITICAL,Data Exfiltration,Large outbound data transfer,USA,False,False,2026-04-03 11:17:25
192.168.1.20,10.0.0.17,3389,TCP,user13,LOW,Normal Traffic,Regular user activity,USA,True,False,2026-04-03 11:17:30
192.168.1.15,10.0.0.18,80,TCP,user7,CRITICAL,DDoS,High traffic spike detected,USA,True,False,2026-04-03 11:17:35
45.33.32.156,10.0.0.17,3389,TCP,user20,MEDIUM,XSS Attack,Script injection detected in URL,India,True,False,2026-04-03 11:17:40
192.168.1.10,10.0.0.13,443,TCP,user17,CRITICAL,DDoS,High traffic spike detected,China,True,False,2026-04-03 11:17:45
192.168.1.8,10.0.0.15,80,TCP,user5,HIGH,Brute Force,Multiple failed login attempts detected,Germany,False,True,2026-04-03 11:17:50
192.168.1.31,10.0.0.4,443,TCP,user1,LOW,Normal Traffic,Regular user activity,USA,True,True,2026-04-03 11:17:55
192.168.1.49,10.0.0.4,3389,TCP,user4,MEDIUM,XSS Attack,Script injection detected in URL,Germany,False,False,2026-04-03 11:18:00
192.168.1.46,10.0.0.5,443,TCP,user17,CRITICAL,DDoS,High traffic spike detected,USA,True,False,2026-04-03 11:18:05
192.168.1.40,10.0.0.2,443,TCP,user11,CRITICAL,Data Exfiltration,Large outbound data transfer,USA,True,True,2026-04-03 11:18:10
192.168.1.3,10.0.0.5,443,TCP,user18,CRITICAL,Data Exfiltration,Large outbound data transfer,China,True,False,2026-04-03 11:18:15
192.168.1.2,10.0.0.13,22,TCP,user1,MEDIUM,XSS Attack,Script injection detected in URL,China,False,False,2026-04-03 11:18:20
192.168.1.19,10.0.0.10,3389,TCP,user13,HIGH,Brute Force,Multiple failed login attempts detected,Germany,False,True,2026-04-03 11:18:25
8.8.8.8,10.0.0.16,3389,TCP,user6,MEDIUM,XSS Attack,Script injection detected in URL,USA,False,False,2026-04-03 11:18:30
192.168.1.31,10.0.0.4,80,TCP,user12,LOW,Normal Traffic,Regular user activity,USA,False,True,2026-04-03 11:18:35
192.168.1.6,10.0.0.6,3389,TCP,user13,MEDIUM,XSS Attack,Script injection detected in URL,China,False,False,2026-04-03 11:18:40
192.168.1.33,10.0.0.17,80,TCP,user3,CRITICAL,DDoS,High traffic spike detected,Germany,True,False,2026-04-03 11:18:45
192.168.1.14,10.0.0.5,443,TCP,user19,HIGH,Brute Force,Multiple failed login attempts detected,Germany,False,False,2026-04-03 11:18:50
192.168.1.36,10.0.0.9,443,TCP,user6,LOW,Normal Traffic,Regular user activity,USA,True,True,2026-04-03 11:18:55
192.168.1.29,10.0.0.17,22,TCP,user19,CRITICAL,Privilege Escalation,Unauthorized root access,USA,False,True,2026-04-03 11:19:00
192.168.1.44,10.0.0.20,22,TCP,user13,HIGH,Brute Force,Multiple failed login attempts detected,Germany,True,True,2026-04-03 11:19:05
192.168.1.40,10.0.0.8,80,TCP,user13,HIGH,SQL Injection,Suspicious SQL query in request,Germany,False,True,2026-04-03 11:19:10
192.168.1.38,10.0.0.17,443,TCP,user14,MEDIUM,Port Scan,Multiple ports scanned from same IP,Germany,False,True,2026-04-03 11:19:15
192.168.1.29,10.0.0.10,22,TCP,user1,LOW,Normal Traffic,Regular user activity,USA,True,False,2026-04-03 11:19:20
192.168.1.49,10.0.0.9,443,TCP,user2,MEDIUM,XSS Attack,Script injection detected in URL,India,True,True,2026-04-03 11:19:25
192.168.1.26,10.0.0.7,3389,TCP,user5,MEDIUM,Port Scan,Multiple ports scanned from same IP,USA,False,True,2026-04-03 11:19:30
192.168.1.43,10.0.0.13,22,TCP,user12,HIGH,SQL Injection,Suspicious SQL query in request,USA,True,False,2026-04-03 11:19:35
192.168.1.38,10.0.0.12,21,TCP,user16,MEDIUM,Port Scan,Multiple ports scanned from same IP,India,True,True,2026-04-03 11:19:40
192.168.1.27,10.0.0.19,443,TCP,user10,LOW,Normal Traffic,Regular user activity,China,False,True,2026-04-03 11:19:45
192.168.1.45,10.0.0.1,80,TCP,user11,CRITICAL,Data Exfiltration,Large outbound data transfer,India,True,True,2026-04-03 11:19:50
192.168.1.44,10.0.0.8,443,TCP,user5,HIGH,Brute Force,Multiple failed login attempts detected,India,True,False,2026-04-03 11:19:55
192.168.1.8,10.0.0.6,443,TCP,user16,MEDIUM,XSS Attack,Script injection detected in URL,China,True,False,2026-04-03 11:20:00
192.168.1.3,10.0.0.17,22,TCP,user4,CRITICAL,Privilege Escalation,Unauthorized root access,USA,True,False,2026-04-03 11:20:05
192.168.1.11,10.0.0.9,80,TCP,user17,MEDIUM,Port Scan,Multiple ports scanned from same IP,USA,True,False,2026-04-03 11:20:10
192.168.1.4,10.0.0.17,3389,TCP,user20,LOW,Normal Traffic,Regular user activity,China,False,True,2026-04-03 11:20:15
192.168.1.23,10.0.0.20,22,TCP,user20,CRITICAL,DDoS,High traffic spike detected,USA,False,False,2026-04-03 11:20:20
192.168.1.44,10.0.0.5,21,TCP,user7,LOW,Normal Traffic,Regular user activity,Germany,True,False,2026-04-03 11:20:25
192.168.1.25,10.0.0.6,3389,TCP,user10,HIGH,SQL Injection,Suspicious SQL query in request,Germany,True,True,2026-04-03 11:20:30
192.168.1.29,10.0.0.15,80,TCP,user5,CRITICAL,DDoS,High traffic spike detected,Germany,False,False,2026-04-03 11:20:35
45.33.32.156,10.0.0.13,443,TCP,user10,CRITICAL,Data Exfiltration,Large outbound data transfer,India,True,True,2026-04-03 11:20:40
192.168.1.2,10.0.0.5,21,TCP,user8,HIGH,SQL Injection,Suspicious SQL query in request,India,False,False,2026-04-03 11:20:45
192.168.1.30,10.0.0.5,21,TCP,user5,MEDIUM,Port Scan,Multiple ports scanned from same IP,Germany,True,True,2026-04-03 11:20:50
192.168.1.11,10.0.0.13,3389,TCP,user8,LOW,Normal Traffic,Regular user activity,Germany,True,False,2026-04-03 11:20:55
192.168.1.5,10.0.0.20,21,TCP,user8,CRITICAL,DDoS,High traffic spike detected,USA,False,True,2026-04-03 11:21:00
192.168.1.14,10.0.0.20,21,TCP,user13,CRITICAL,Data Exfiltration,Large outbound data transfer,USA,True,True,2026-04-03 11:21:05
192.168.1.46,10.0.0.8,21,TCP,user4,CRITICAL,DDoS,High traffic spike detected,USA,True,False,2026-04-03 11:21:10
192.168.1.11,10.0.0.12,80,TCP,user18,CRITICAL,Data Exfiltration,Large outbound data transfer,China,False,True,2026-04-03 11:21:15
192.168.1.33,10.0.0.16,21,TCP,user11,MEDIUM,Port Scan,Multiple ports scanned from same IP,China,True,True,2026-04-03 11:21:20
192.168.1.40,10.0.0.9,443,TCP,user2,MEDIUM,Port Scan,Multiple ports scanned from same IP,Germany,False,True,2026-04-03 11:21:25
192.168.1.23,10.0.0.15,22,TCP,user6,HIGH,SQL Injection,Suspicious SQL query in request,Germany,False,False,2026-04-03 11:21:30
192.168.1.12,10.0.0.3,443,TCP,user19,MEDIUM,Port Scan,Multiple ports scanned from same IP,Germany,False,False,2026-04-03 11:21:35
192.168.1.6,10.0.0.17,80,TCP,user18,CRITICAL,Data Exfiltration,Large outbound data transfer,Germany,True,True,2026-04-03 11:21:40
192.168.1.12,10.0.0.13,3389,TCP,user14,CRITICAL,DDoS,High traffic spike detected,USA,False,False,2026-04-03 11:21:45
192.168.1.43,10.0.0.7,21,TCP,user20,CRITICAL,Data Exfiltration,Large outbound data transfer,India,False,True,2026-04-03 11:21:50
192.168.1.48,10.0.0.15,443,TCP,user20,CRITICAL,DDoS,High traffic spike detected,China,True,True,2026-04-03 11:21:55
192.168.1.41,10.0.0.18,22,TCP,user4,HIGH,SQL Injection,Suspicious SQL query in request,USA,False,True,2026-04-03 11:22:00
192.168.1.37,10.0.0.12,21,TCP,user18,HIGH,Brute Force,Multiple failed login attempts detected,USA,False,True,2026-04-03 11:22:05
192.168.1.46,10.0.0.14,443,TCP,user14,MEDIUM,Port Scan,Multiple ports scanned from same IP,India,True,True,2026-04-03 11:22:10
192.168.1.18,10.0.0.9,22,TCP,user14,CRITICAL,Data Exfiltration,Large outbound data transfer,USA,True,False,2026-04-03 11:22:15
192.168.1.9,10.0.0.17,3389,TCP,user3,CRITICAL,Data Exfiltration,Large outbound data transfer,Germany,True,False,2026-04-03 11:22:20
192.168.1.9,10.0.0.16,3389,TCP,user8,CRITICAL,DDoS,High traffic spike detected,China,True,False,2026-04-03 11:22:25
192.168.1.5,10.0.0.20,22,TCP,user11,LOW,Normal Traffic,Regular user activity,China,True,True,2026-04-03 11:22:30
192.168.1.4,10.0.0.11,21,TCP,user15,HIGH,Brute Force,Multiple failed login attempts detected,Germany,True,False,2026-04-03 11:22:35
192.168.1.28,10.0.0.12,22,TCP,user1,MEDIUM,Port Scan,Multiple ports scanned from same IP,China,True,False,2026-04-03 11:22:40
192.168.1.17,10.0.0.6,80,TCP,user17,CRITICAL,DDoS,High traffic spike detected,India,False,False,2026-04-03 11:22:45
192.168.1.36,10.0.0.19,3389,TCP,user16,HIGH,Brute Force,Multiple failed login attempts detected,China,True,False,2026-04-03 11:22:50
192.168.1.47,10.0.0.7,21,TCP,user20,HIGH,Brute Force,Multiple failed login attempts detected,China,True,True,2026-04-03 11:22:55
192.168.1.7,10.0.0.13,443,TCP,user14,HIGH,SQL Injection,Suspicious SQL query in request,USA,True,True,2026-04-03 11:23:00
192.168.1.40,10.0.0.13,443,TCP,user9,MEDIUM,Port Scan,Multiple ports scanned from same IP,Germany,False,True,2026-04-03 11:23:05
8.8.8.8,10.0.0.18,3389,TCP,user16,LOW,Normal Traffic,Regular user activity,Germany,True,True,2026-04-03 11:23:10
192.168.1.45,10.0.0.1,21,TCP,user2,CRITICAL,Privilege Escalation,Unauthorized root access,India,False,False,2026-04-03 11:23:15
192.168.1.6,10.0.0.17,3389,TCP,user8,CRITICAL,Data Exfiltration,Large outbound data transfer,India,True,True,2026-04-03 11:23:20
192.168.1.32,10.0.0.11,80,TCP,user4,MEDIUM,XSS Attack,Script injection detected in URL,Germany,True,True,2026-04-03 11:23:25
192.168.1.6,10.0.0.10,22,TCP,user5,CRITICAL,Privilege Escalation,Unauthorized root access,India,True,True,2026-04-03 11:23:30
192.168.1.36,10.0.0.12,21,TCP,user13,CRITICAL,Privilege Escalation,Unauthorized root access,Germany,True,True,2026-04-03 11:23:35
192.168.1.28,10.0.0.2,21,TCP,user12,CRITICAL,Data Exfiltration,Large outbound data transfer,India,True,False,2026-04-03 11:23:40
192.168.1.18,10.0.0.10,443,TCP,user6,HIGH,Brute Force,Multiple failed login attempts detected,India,True,True,2026-04-03 11:23:45
192.168.1.35,10.0.0.17,22,TCP,user20,LOW,Normal Traffic,Regular user activity,USA,True,False,2026-04-03 11:23:50
192.168.1.13,10.0.0.12,3389,TCP,user4,CRITICAL,DDoS,High traffic spike detected,USA,False,True,2026-04-03 11:23:55
192.168.1.42,10.0.0.3,80,TCP,user12,LOW,Normal Traffic,Regular user activity,Germany,True,True,2026-04-03 11:24:00
192.168.1.38,10.0.0.14,22,TCP,user8,LOW,Normal Traffic,Regular user activity,Germany,False,True,2026-04-03 11:24:05
192.168.1.49,10.0.0.3,443,TCP,user16,HIGH,SQL Injection,Suspicious SQL query in request,China,False,False,2026-04-03 11:24:10
192.168.1.21,10.0.0.9,443,TCP,user17,HIGH,SQL Injection,Suspicious SQL query in request,China,False,True,2026-04-03 11:24:15
192.168.1.2,10.0.0.15,3389,TCP,user3,HIGH,Brute Force,Multiple failed login attempts detected,USA,True,True,2026-04-03 11:24:20
192.168.1.10,10.0.0.19,80,TCP,user13,LOW,Normal Traffic,Regular user activity,USA,False,True,2026-04-03 11:24:25
192.168.1.16,10.0.0.2,21,TCP,user10,MEDIUM,Port Scan,Multiple ports scanned from same IP,Germany,False,True,2026-04-03 11:24:30
192.168.1.21,10.0.0.15,22,TCP,user14,MEDIUM,XSS Attack,Script injection detected in URL,India,True,False,2026-04-03 11:24:35
192.168.1.38,10.0.0.1,22,TCP,user15,CRITICAL,Data Exfiltration,Large outbound data transfer,China,False,False,2026-04-03 11:24:40
8.8.8.8,10.0.0.18,21,TCP,user14,HIGH,Brute Force,Multiple failed login attempts detected,USA,False,True,2026-04-03 11:24:45
203.0.113.5,10.0.0.13,21,TCP,user13,HIGH,Brute Force,Multiple failed login attempts detected,Germany,True,True,2026-04-03 11:24:50
192.168.1.24,10.0.0.12,80,TCP,user16,HIGH,Brute Force,Multiple failed login attempts detected,India,False,True,2026-04-03 11:24:55
192.168.1.41,10.0.0.7,21,TCP,user16,CRITICAL,Data Exfiltration,Large outbound data transfer,China,False,True,2026-04-03 11:25:00
192.168.1.1,10.0.0.18,21,TCP,user7,HIGH,SQL Injection,Suspicious SQL query in request,China,True,True,2026-04-03 11:25:05
192.168.1.24,10.0.0.16,22,TCP,user12,MEDIUM,Port Scan,Multiple ports scanned from same IP,China,True,False,2026-04-03 11:25:10
192.168.1.23,10.0.0.20,3389,TCP,user7,LOW,Normal Traffic,Regular user activity,USA,False,False,2026-04-03 11:25:15
192.168.1.21,10.0.0.10,443,TCP,user2,HIGH,SQL Injection,Suspicious SQL query in request,USA,False,True,2026-04-03 11:25:20
192.168.1.16,10.0.0.17,21,TCP,user12,HIGH,SQL Injection,Suspicious SQL query in request,China,False,True,2026-04-03 11:25:25
192.168.1.39,10.0.0.2,443,TCP,user8,MEDIUM,Port Scan,Multiple ports scanned from same IP,USA,False,False,2026-04-03 11:25:30
192.168.1.9,10.0.0.7,443,TCP,user2,CRITICAL,Privilege Escalation,Unauthorized root access,China,False,False,2026-04-03 11:25:35
192.168.1.30,10.0.0.11,22,TCP,user17,CRITICAL,DDoS,High traffic spike detected,Germany,True,False,2026-04-03 11:25:40
192.168.1.6,10.0.0.11,22,TCP,user9,LOW,Normal Traffic,Regular user activity,USA,False,False,2026-04-03 11:25:45
192.168.1.31,10.0.0.3,22,TCP,user13,HIGH,Brute Force,Multiple failed login attempts detected,India,False,True,2026-04-03 11:25:50
192.168.1.14,10.0.0.17,3389,TCP,user9,HIGH,Brute Force,Multiple failed login attempts detected,Germany,True,False,2026-04-03 11:25:55
192.168.1.40,10.0.0.16,443,TCP,user9,CRITICAL,DDoS,High traffic spike detected,China,True,False,2026-04-03 11:26:00
192.168.1.18,10.0.0.1,443,TCP,user17,MEDIUM,Port Scan,Multiple ports scanned from same IP,Germany,False,False,2026-04-03 11:26:05
192.168.1.32,10.0.0.13,3389,TCP,user6,CRITICAL,Privilege Escalation,Unauthorized root access,USA,False,False,2026-04-03 11:26:10
192.168.1.28,10.0.0.6,3389,TCP,user6,HIGH,SQL Injection,Suspicious SQL query in request,USA,True,False,2026-04-03 11:26:15
192.168.1.39,10.0.0.6,21,TCP,user13,HIGH,Brute Force,Multiple failed login attempts detected,Germany,False,True,2026-04-03 11:26:20
192.168.1.40,10.0.0.1,443,TCP,user17,CRITICAL,DDoS,High traffic spike detected,USA,False,False,2026-04-03 11:26:25
192.168.1.28,10.0.0.10,80,TCP,user10,MEDIUM,XSS Attack,Script injection detected in URL,China,False,True,2026-04-03 11:26:30
192.168.1.18,10.0.0.13,21,TCP,user5,HIGH,SQL Injection,Suspicious SQL query in request,Germany,False,True,2026-04-03 11:26:35
192.168.1.48,10.0.0.16,443,TCP,user14,HIGH,Brute Force,Multiple failed login attempts detected,China,True,False,2026-04-03 11:26:40
192.168.1.42,10.0.0.4,443,TCP,user2,CRITICAL,Data Exfiltration,Large outbound data transfer,Germany,True,False,2026-04-03 11:26:45
192.168.1.11,10.0.0.17,3389,TCP,user13,MEDIUM,XSS Attack,Script injection detected in URL,China,False,False,2026-04-03 11:26:50
192.168.1.42,10.0.0.8,22,TCP,user8,HIGH,SQL Injection,Suspicious SQL query in request,USA,False,False,2026-04-03 11:26:55
192.168.1.28,10.0.0.16,443,TCP,user5,MEDIUM,Port Scan,Multiple ports scanned from same IP,China,True,True,2026-04-03 11:27:00
192.168.1.7,10.0.0.15,3389,TCP,user19,CRITICAL,Privilege Escalation,Unauthorized root access,USA,False,False,2026-04-03 11:27:05
192.168.1.46,10.0.0.8,21,TCP,user14,HIGH,Brute Force,Multiple failed login attempts detected,USA,False,False,2026-04-03 11:27:10
192.168.1.14,10.0.0.4,443,TCP,user9,HIGH,Brute Force,Multiple failed login attempts detected,China,False,False,2026-04-03 11:27:15
192.168.1.40,10.0.0.6,22,TCP,user15,HIGH,Brute Force,Multiple failed login attempts detected,India,True,False,2026-04-03 11:27:20
45.33.32.156,10.0.0.17,21,TCP,user3,CRITICAL,DDoS,High traffic spike detected,USA,False,False,2026-04-03 11:27:25
192.168.1.21,10.0.0.12,3389,TCP,user9,CRITICAL,Privilege Escalation,Unauthorized root access,China,False,True,2026-04-03 11:27:30
192.168.1.8,10.0.0.7,3389,TCP,user5,CRITICAL,Data Exfiltration,Large outbound data transfer,USA,False,True,2026-04-03 11:27:35
192.168.1.22,10.0.0.9,21,TCP,user8,MEDIUM,XSS Attack,Script injection detected in URL,USA,False,True,2026-04-03 11:27:40
192.168.1.24,10.0.0.11,22,TCP,user1,LOW,Normal Traffic,Regular user activity,China,True,True,2026-04-03 11:27:45
192.168.1.21,10.0.0.3,22,TCP,user17,LOW,Normal Traffic,Regular user activity,China,True,False,2026-04-03 11:27:50
192.168.1.12,10.0.0.12,22,TCP,user2,CRITICAL,DDoS,High traffic spike detected,USA,False,False,2026-04-03 11:27:55
192.168.1.30,10.0.0.6,21,TCP,user17,HIGH,Brute Force,Multiple failed login attempts detected,China,False,False,2026-04-03 11:28:00
192.168.1.3,10.0.0.3,80,TCP,user19,CRITICAL,Privilege Escalation,Unauthorized root access,Germany,True,False,2026-04-03 11:28:05
192.168.1.32,10.0.0.2,443,TCP,user11,MEDIUM,Port Scan,Multiple ports scanned from same IP,USA,False,True,2026-04-03 11:28:10
192.168.1.24,10.0.0.20,3389,TCP,user1,MEDIUM,Port Scan,Multiple ports scanned from same IP,Germany,True,False,2026-04-03 11:28:15
192.168.1.38,10.0.0.17,21,TCP,user10,MEDIUM,Port Scan,Multiple ports scanned from same IP,China,True,True,2026-04-03 11:28:20
192.168.1.19,10.0.0.2,80,TCP,user15,HIGH,SQL Injection,Suspicious SQL query in request,China,False,True,2026-04-03 11:28:25
192.168.1.26,10.0.0.6,80,TCP,user14,HIGH,SQL Injection,Suspicious SQL query in request,China,True,False,2026-04-03 11:28:30
192.168.1.43,10.0.0.9,22,TCP,user4,MEDIUM,Port Scan,Multiple ports scanned from same IP,USA,True,False,2026-04-03 11:28:35
192.168.1.14,10.0.0.7,443,TCP,user2,CRITICAL,DDoS,High traffic spike detected,USA,True,False,2026-04-03 11:28:40
192.168.1.22,10.0.0.5,80,TCP,user3,LOW,Normal Traffic,Regular user activity,China,False,True,2026-04-03 11:28:45
8.8.8.8,10.0.0.5,21,TCP,user2,HIGH,SQL Injection,Suspicious SQL query in request,China,False,True,2026-04-03 11:28:50
192.168.1.11,10.0.0.10,80,TCP,user1,LOW,Normal Traffic,Regular user activity,Germany,True,False,2026-04-03 11:28:55
192.168.1.42,10.0.0.13,80,TCP,user9,MEDIUM,XSS Attack,Script injection detected in URL,China,True,True,2026-04-03 11:29:00
192.168.1.14,10.0.0.3,22,TCP,user20,LOW,Normal Traffic,Regular user activity,USA,False,False,2026-04-03 11:29:05
192.168.1.35,10.0.0.3,22,TCP,user12,LOW,Normal Traffic,Regular user activity,China,True,False,2026-04-03 11:29:10
192.168.1.17,10.0.0.16,443,TCP,user20,HIGH,SQL Injection,Suspicious SQL query in request,USA,False,False,2026-04-03 11:29:15
192.168.1.15,10.0.0.20,443,TCP,user7,HIGH,SQL Injection,Suspicious SQL query in request,Germany,True,False,2026-04-03 11:29:20
192.168.1.40,10.0.0.10,443,TCP,user15,MEDIUM,Port Scan,Multiple ports scanned from same IP,Germany,False,False,2026-04-03 11:29:25
192.168.1.16,10.0.0.2,22,TCP,user9,CRITICAL,Privilege Escalation,Unauthorized root access,USA,False,False,2026-04-03 11:29:30
192.168.1.7,10.0.0.7,80,TCP,user1,LOW,Normal Traffic,Regular user activity,China,True,False,2026-04-03 11:29:35
192.168.1.28,10.0.0.12,21,TCP,user5,MEDIUM,XSS Attack,Script injection detected in URL,Germany,True,False,2026-04-03 11:29:40
192.168.1.20,10.0.0.9,22,TCP,user19,CRITICAL,DDoS,High traffic spike detected,India,False,True,2026-04-03 11:29:45
192.168.1.29,10.0.0.19,22,TCP,user11,LOW,Normal Traffic,Regular user activity,USA,False,True,2026-04-03 11:29:50
192.168.1.38,10.0.0.19,21,TCP,user10,HIGH,SQL Injection,Suspicious SQL query in request,USA,True,True,2026-04-03 11:29:55
192.168.1.4,10.0.0.4,21,TCP,user14,MEDIUM,XSS Attack,Script injection detected in URL,USA,True,False,2026-04-03 11:30:00
192.168.1.49,10.0.0.4,80,TCP,user9,MEDIUM,Port Scan,Multiple ports scanned from same IP,China,True,False,2026-04-03 11:30:05
192.168.1.32,10.0.0.6,22,TCP,user14,MEDIUM,XSS Attack,Script injection detected in URL,USA,True,False,2026-04-03 11:30:10
192.168.1.2,10.0.0.11,21,TCP,user2,HIGH,Brute Force,Multiple failed login attempts detected,India,True,False,2026-04-03 11:30:15
192.168.1.3,10.0.0.12,22,TCP,user2,CRITICAL,Privilege Escalation,Unauthorized root access,Germany,False,False,2026-04-03 11:30:20
192.168.1.25,10.0.0.1,80,TCP,user12,CRITICAL,Data Exfiltration,Large outbound data transfer,Germany,False,True,2026-04-03 11:30:25
192.168.1.46,10.0.0.13,443,TCP,user4,CRITICAL,Privilege Escalation,Unauthorized root access,China,True,False,2026-04-03 11:30:30
192.168.1.19,10.0.0.12,3389,TCP,user15,LOW,Normal Traffic,Regular user activity,China,False,True,2026-04-03 11:30:35
192.168.1.35,10.0.0.11,443,TCP,user12,HIGH,Brute Force,Multiple failed login attempts detected,China,False,False,2026-04-03 11:30:40
192.168.1.8,10.0.0.18,3389,TCP,user11,HIGH,Brute Force,Multiple failed login attempts detected,India,True,True,2026-04-03 11:30:45
192.168.1.44,10.0.0.4,443,TCP,user14,CRITICAL,Privilege Escalation,Unauthorized root access,Germany,False,False,2026-04-03 11:30:50
192.168.1.21,10.0.0.16,3389,TCP,user20,HIGH,Brute Force,Multiple failed login attempts detected,India,False,False,2026-04-03 11:30:55
192.168.1.3,10.0.0.7,3389,TCP,user16,MEDIUM,XSS Attack,Script injection detected in URL,China,False,False,2026-04-03 11:31:00
192.168.1.27,10.0.0.4,22,TCP,user19,HIGH,Brute Force,Multiple failed login attempts detected,India,True,False,2026-04-03 11:31:05
192.168.1.30,10.0.0.13,443,TCP,user18,LOW,Normal Traffic,Regular user activity,India,False,True,2026-04-03 11:31:10
192.168.1.12,10.0.0.14,3389,TCP,user20,CRITICAL,Data Exfiltration,Large outbound data transfer,China,True,False,2026-04-03 11:31:15
